Name;Position;Team ;Games Played;Minutes;Points;Field Goal%;3Point%;FreeThrow%;Assists;Blocks;Steals;Rebounds;Turnovers;Salary
Salah Mejri;C;DAL;60;729;214;64.23;0.00;57.58;35;67;22;246;39;$1,471,382 (280)
T.J. McConnell;PG;PHI;76;1,706;478;49.76;42.86;79.49;303;13;92;226;114;$1,471,382 (280)
Furkan Korkmaz;SG;PHI;14;79;23;28.57;29.41;50.00;4;1;2;11;2;$1,465,920 (304)
Caleb Swanigan;PF;POR;27;189;61;40.00;12.50;66.67;14;3;5;54;18;$1,465,920 (304)
Willy Hernangomez;C;CHA;48;494;246;55.49;41.67;65.56;33;16;18;182;34;$1,435,750 (306)
Kyle Kuzma;PF;LAL;77;2,401;1,242;45.04;36.64;70.67;141;34;49;483;140;$1,423,560 (307)
Tony Bradley;C;UTH;9;29;8;27.27;0.00;100.00;1;0;0;11;0;$1,414,920 (308)
Derrick White;PG;SAS;17;138;54;48.48;61.54;70.00;9;3;4;26;6;$1,404,600 (309)
Josh Hart;SG;LAL;63;1,46;496;46.93;39.59;70.21;80;16;47;263;47;$1,394,520 (310)
Timothe Luwawu-Cabarrot;SG;PHI;52;807;299;37.45;33.54;79.31;54;5;12;72;38;$1,386,600 (311)
Treveon Graham;SG;CHA;63;1,049;273;43.44;41.24;69.49;59;2;33;121;27;$1,312,611 (312)
Rodney McGruder;SG;MIA;18;299;91;49.32;42.86;50.00;17;3;8;32;4;$1,312,611 (312)
Davis Bertans;SF;SAS;77;1,085;456;43.99;37.30;81.63;74;28;26;153;36;$1,312,611 (312)
Skal Labissiere;PF;SAC;60;1,24;523;44.76;35.29;80.51;72;49;25;288;73;$1,312,611 (312)
Dejounte Murray;PG;SAS;81;1,743;656;44.43;26.47;70.95;231;31;97;459;134;$1,312,611 (312)
Patrick McCaw;SG;GSW;58;973;229;40.71;23.75;76.47;81;10;43;83;41;$1,312,611 (312)
Tyler Ulis;PG;PHX;71;1,658;554;38.84;28.77;83.17;311;7;70;128;127;$1,312,611 (312)
Damian Jones;C;GSW;15;88;25;50.00;0.00;60.00;2;3;1;14;4;$1,312,611 (312)
Ivica Zubac;C;LAL;43;410;161;50.00;0.00;76.47;25;15;8;122;26;$1,312,611 (312)
Cheick Diallo;PF;NOP;53;581;254;57.95;0.00;75.76;19;21;11;211;28;$1,312,611 (312)
Malcolm Brogdon;PG;MIL;48;1,436;625;48.51;38.51;88.24;152;13;41;156;66;$1,312,611 (312)
Jake Layman;SF;POR;34;160;34;29.79;20.00;66.67;11;4;6;16;5;$1,312,611 (312)
Pascal Siakam;PF;TOR;81;1,679;589;50.80;21.97;62.07;159;42;62;364;68;$1,312,611 (312)
Yogi Ferrell;PG;DAL;82;2,281;838;42.60;37.33;79.61;201;9;64;249;78;$1,312,611 (312)
Fred VanVleet;PG;TOR;76;1,519;656;42.57;41.38;83.17;243;19;68;184;74;$1,312,611 (312)
Dorian Finney-Smith;SF;DAL;21;447;123;38.02;29.85;73.33;26;4;10;75;21;$1,312,611 (312)
Bryn Forbes;SG;SAS;80;1,517;555;42.05;39.04;66.67;80;2;28;110;37;$1,312,611 (312)
Wayne Selden;SG;MEM;35;690;325;43.12;40.16;74.58;66;5;18;56;54;$1,312,611 (312)
David Nwaba;SG;CHI;70;1,646;555;47.75;34.62;65.52;104;29;59;326;77;$1,312,611 (312)
Semi Ojeleye;PF;BOS;73;1,15;195;34.57;32.00;60.98;20;4;21;161;25;$1,291,892 (331)
Frank Mason;PG;SAC;52;983;413;37.89;36.05;81.74;147;10;34;130;65;$1,184,385 (332)
Abdel Nader;SF;BOS;48;521;146;33.56;35.38;58.97;26;10;15;71;34;$1,167,333 (333)
Damyean Dotson;SG;NYK;44;473;182;44.72;32.35;69.57;31;2;12;84;17;$1,100,000 (334)
Wesley Iwundu;SF;ORL;62;1,02;229;42.66;19.57;72.34;57;12;33;137;30;$1,050,000 (335)
Ike Anigbogu;C;IND;11;29;13;44.44;0.00;83.33;0;3;1;9;2;$950,000 (336)
Ivan Rabb;PF;MEM;36;516;201;56.58;0.00;80.56;32;13;12;158;35;$950,000 (336)
Gerald Green;SG;HOU;41;928;497;40.68;36.91;85.00;25;15;24;132;31;$872,854 (338)
Khem Birch;C;ORL;42;578;178;53.97;0.00;68.85;34;21;15;180;21;$815,615 (339)
Zhou Qi;PF;HOU;18;123;22;18.75;10.53;66.67;2;14;2;22;10;$815,615 (339)
Jordan Bell;C;GSW;57;808;262;62.70;0.00;68.18;102;56;35;207;51;$815,615 (339)
Thomas Bryant;C;LAL;15;72;22;38.10;10.00;55.56;6;2;1;17;2;$815,615 (339)
Davon Reed;SG;PHX;21;242;63;28.95;28.95;66.67;13;2;10;39;10;$815,615 (339)
Dwayne Bacon;SG;CHA;53;712;175;37.31;25.58;80.00;38;2;16;124;22;$815,615 (339)
Tyler Dorsey;SG;ATL;56;974;405;37.60;36.00;71.43;79;5;17;130;37;$815,615 (339)
Sterling Brown;SG;MIL;54;776;217;40.00;35.16;87.50;25;13;31;143;25;$815,615 (339)
Sindarius Thornwell;SG;LAC;73;1,155;282;42.92;37.70;67.05;67;26;48;140;53;$815,615 (339)
Dillon Brooks;SF;MEM;82;2,349;898;44.04;35.61;74.70;135;17;73;257;124;$815,615 (339)
Daniel Theis;PF;BOS;63;935;331;54.08;31.03;75.31;56;47;30;274;56;$815,615 (339)
Alfonzo McKinnie;PF;TOR;14;53;21;53.33;33.33;66.67;1;1;1;7;3;$815,615 (339)
Maxi Kleber;PF;DAL;72;1,206;386;48.87;31.25;74.58;51;47;26;234;30;$815,615 (339)
Royce O'Neale;SF;UTH;71;1,194;343;42.25;35.59;80.26;95;16;36;236;55;$815,615 (339)
Trey Burke;PG;NYK;36;784;461;50.26;36.19;64.91;170;4;24;71;43;$784,160 (353)
Alex Poythress;SF;IND;25;104;26;42.31;36.36;0.00;2;1;3;17;2;$778,668 (354)
Tyler Cavanaugh;PF;ATL;39;518;183;44.08;35.96;80.95;27;4;9;127;14;$679,919 (355)
Marco Belinelli;SG;PHI;80;1,946;971;44.17;37.72;90.80;148;12;66;150;94;$490,461 (356)
Ersan Ilyasova;PF;PHI;69;1,73;750;45.19;35.97;77.78;90;26;61;405;72;$357,454 (357)
Derrick Rose;PG;MIN;25;419;209;43.55;23.33;86.96;37;4;7;35;35;$290,951 (358)
Shaquille Harrison;PG;PHX;69;1,152;456;47.58;23.08;73.68;165;21;78;183;66;$267,160 (359)
Demetrius Jackson;PG;HOU;15;79;16;38.89;14.29;50.00;9;1;5;12;11;$74,159 (360)
Quinn Cook;PG;GSW;33;740;312;48.41;44.23;88.00;89;1;12;82;32;$14,832 (361)
Lorenzo Brown;PG;TOR;14;138;32;41.18;16.67;100.00;13;0;6;14;3;$8,313 (362)
