Name;Position;Team ;Games Played;Minutes;Points;Field Goal%;3Point%;FreeThrow%;Assists;Blocks;Steals;Rebounds;Turnovers;Salary
E'Twaun Moore;SG;NOP;82;2,585;1,022;50.84;42.52;70.59;187;12;79;238;102;$8,445,024 (121)
Rudy Gay;SF;SAS;57;1,231;655;47.11;31.36;77.24;73;38;46;292;78;$8,406,000 (122)
Kosta Koufos;C;SAC;71;1,391;477;57.07;0.00;44.59;87;32;48;472;49;$8,393,000 (123)
Garrett Temple;SG;SAC;65;1,615;547;41.81;39.21;76.92;124;26;58;152;80;$8,000,000 (124)
Vince Carter;SG;SAC;58;1,026;313;40.28;34.55;75.68;69;26;42;148;36;$8,000,000 (124)
Markieff Morris;PF;WAS;73;1,967;841;48.03;36.71;82.03;142;37;57;409;127;$8,000,000 (124)
C.J. Miles;SF;TOR;70;1,335;699;37.90;36.12;83.51;55;21;37;152;39;$7,936,508 (127)
Cristiano Felicio;PF;CHI;55;977;308;59.07;0.00;66.67;55;11;16;233;54;$7,843,500 (128)
Shaun Livingston;PG;GSW;71;1,129;394;50.15;0.00;81.97;140;20;35;131;58;$7,692,308 (129)
Cory Joseph;PG;IND;82;2,21;649;42.38;35.26;74.47;260;18;80;264;89;$7,630,000 (130)
P.J. Tucker;SF;HOU;82;2,281;502;39.00;37.10;71.67;77;26;78;457;75;$7,590,035 (131)
Andrew Wiggins;SF;MIN;82;2,978;1,452;43.77;33.14;64.33;160;52;91;358;138;$7,574,323 (132)
Trevor Ariza;SF;HOU;67;2,269;782;41.17;36.80;85.39;105;13;98;294;54;$7,420,912 (133)
Channing Frye;PF;LAL;53;694;264;49.06;33.91;89.47;38;13;18;135;21;$7,420,912 (133)
Al-Farouq Aminu;PF;POR;69;2,071;644;39.52;36.87;73.75;84;40;79;525;79;$7,319,035 (135)
D.J. Augustin;PG;ORL;75;1,76;766;45.19;41.91;86.77;287;0;54;160;123;$7,250,000 (136)
Markelle Fultz;PG;PHI;14;252;100;40.54;0.00;47.62;53;4;11;44;15;$7,026,240 (137)
Louis Williams;SG;LAC;79;2,589;1,782;43.53;35.91;87.98;417;19;85;198;234;$7,000,000 (138)
Kyle Korver;SG;CLE;73;1,573;672;45.87;43.62;88.89;88;27;31;165;55;$7,000,000 (138)
Jeremy Lamb;SG;CHA;80;1,967;1,033;45.73;37.15;86.06;187;32;61;324;93;$7,000,000 (138)
Boban Marjanovic;C;LAC;37;337;235;53.38;0.00;79.38;22;11;10;144;37;$7,000,000 (138)
Jae Crowder;SF;UTH;80;2,089;773;40.39;32.26;81.76;99;21;64;275;74;$6,796,117 (142)
